gene_id	B100	B110	B175	B200	B210	B275	B300	B310	B375
MSTRG.10722	0	1265	867	0	973	795	0	1761	484
MSTRG.10723	3674	0	130	3307	0	58	1813	0	40
MSTRG.10724	3152	0	133	4067	0	166	2077	0	294
MSTRG.10725	1543	97	193	573	208	21	2733	86	133
MSTRG.10726	3283	2814	2	2566	1047	46	1515	3168	49
MSTRG.10727	621	1057	4558	455	293	10541	236	813	3189
MSTRG.10728	703	583	0	1545	720	0	226	998	0
MSTRG.10729	64	59	0	37	22	0	115	393	0
MSTRG.1073	3	3	461	18	25	196	0	113	224
MSTRG.10730	51	88	2734	112	2764	2098	94	114	1750
MSTRG.10731	20	0	318	227	2	1165	62	62	564
MSTRG.10732	27	1100	0	52	318	0	41	1434	0
MSTRG.10733	2579	283	0	1096	233	0	1523	521	0
MSTRG.10734	196	20	400	138	114	1480	158	5	312
MSTRG.10735	932	25	10207	546	44	13490	491	41	5523
MSTRG.10736	2098	43	0	2611	117	0	598	116	0
MSTRG.10737	823	15	351	441	214	571	245	19	304
MSTRG.10738	2049	8034	4348	1849	5174	5721	848	1535	3324
MSTRG.10739	3080	2825	2018	3949	1854	2349	2414	604	1694
MSTRG.1074	5445	233	2061	5077	245	2750	3282	195	2552
MSTRG.10740	296	3544	209	242	2560	215	340	2346	229
MSTRG.10741	45	775	160	48	341	94	67	787	67
MSTRG.10742	3060	0	6638	1140	0	8115	3565	0	7454
MSTRG.10743	23219	160	1115	34089	1181	692	11664	560	1935
MSTRG.10744	4982	144	431	4506	194	214	4070	171	397
MSTRG.10745	644	1049	552	171	703	258	305	1054	239
MSTRG.10746	496	371	58	769	132	104	134	14	107
MSTRG.10747	336	1661	1001	3242	2178	836	149	1719	512
MSTRG.10748	20	20	14627	96	408	7733	185	403	4570
MSTRG.10749	769	32	1050	966	6	1023	947	12	563
MSTRG.1075	1128	0	77	253	0	610	1222	0	106
MSTRG.10750	226	1514	466	616	1591	371	296	2454	149
MSTRG.10751	2010	1529	2085	686	1977	2414	246	1677	2375
MSTRG.10752	14634	2220	49	16090	24002	87	18890	27	33
MSTRG.10753	1839	0	1785	853	0	1238	690	0	1071
MSTRG.10754	5344	6049	1263	10068	5258	2106	3413	5975	1122
MSTRG.10755	312	299	71	185	96	53	260	254	4
MSTRG.10756	581	1192	153	2977	499	127	568	776	52
MSTRG.10757	258	1360	2667	468	1090	3704	259	1711	1907
MSTRG.10758	1724	217	0	1777	122	0	320	118	0
MSTRG.10759	483	0	12358	591	0	2970	455	0	4882
MSTRG.1076	16	74	169	13	72	157	19	200	248
MSTRG.10760	6411	1317	2116	3268	1075	903	2178	1496	1750
MSTRG.10761	3165	370	2209	2557	735	1538	1840	719	18374
MSTRG.10762	626	385	5203	510	384	3870	510	366	39290
MSTRG.10763	1561	91	183	705	104	173	1711	237	975
MSTRG.10764	487	0	941	450	0	1587	452	0	834
MSTRG.10765	79	4008	363	6	1904	926	82	2852	695
MSTRG.10766	64	260	1412	39	135	1723	56	239	1041
MSTRG.10767	1935	0	1	1359	0	15	1447	0	0
MSTRG.10768	43	1169	0	28	1079	17	141	933	1
MSTRG.10769	997	0	1047	1842	0	731	559	0	552
MSTRG.1077	263	82	784	154	84	855	138	156	743
MSTRG.10770	957	2173	1993	759	463	4448	790	1114	2249
MSTRG.10771	2494	4871	92	1640	2594	152	1531	4658	186
MSTRG.10772	1111	783	0	261	354	0	546	795	0
MSTRG.10773	505	6	259	19	16	660	7	38	299
MSTRG.10774	1956	50	2193	1129	22	896	626	65	2427
MSTRG.10775	4567	138	1266	1499	401	1597	3377	273	949
MSTRG.10776	3275	75	40	2988	99	65	1898	87	86
MSTRG.10777	1328	306	35	491	669	61	580	613	44
MSTRG.10778	122	0	32	161	0	44	121	0	31
MSTRG.10779	170	52	156	200	73	101	133	65	85
MSTRG.1078	213	715	10386	95	752	11818	159	147	6178
MSTRG.10780	103	59	549	581	7	485	9	20	127
MSTRG.10781	125	62	14119	26	76	5184	60	80	21407
MSTRG.10782	304	8	380	201	3	262	187	49	262
MSTRG.10783	676	18	0	548	30	7	536	35	0
MSTRG.10784	16	625	3636	86	323	3330	29	638	2920
MSTRG.10785	102	445	105	30	391	35	56	593	207
MSTRG.10786	98	3350	0	537	5483	0	487	2565	0
MSTRG.10787	1	2145	610	1	882	395	2	377	486
MSTRG.10788	852	38	506	315	199	310	512	109	609
MSTRG.10789	1676	2286	62	2087	2918	44	1894	3350	65
MSTRG.1079	2154	464	15	1667	149	103	747	299	277
MSTRG.10790	3720	74	0	3430	341	0	757	410	0
MSTRG.10791	535	6458	78	230	3737	139	164	12215	76
MSTRG.10792	93	197	193	238	115	696	82	61	220
MSTRG.10793	0	11815	74	0	6758	227	0	11535	77
MSTRG.10794	154	620	233	308	1259	511	281	828	206
MSTRG.10795	0	3663	24	0	1769	316	0	3253	233
MSTRG.10796	0	1071	908	0	1914	486	0	792	552
MSTRG.10797	56	26110	1765	55	12218	1012	35	26090	981
MSTRG.10798	138	399	721	66	358	387	14	274	722
