gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.4451	2	1340	38	76	350	0	1330	111	50	420	1	1313	16	56	539
MSTRG.4452	1171	21	1760	381	32	1173	38	1476	499	65	1012	89	972	335	46
MSTRG.4453	310	258	0	697	1173	63	123	1	806	376	69	164	0	606	996
MSTRG.4454	241	1352	2441	3439	944	107	1369	3927	1275	1476	159	1717	1632	1679	1055
MSTRG.4455	72	0	13698	2305	6895	244	0	24326	2790	930	149	0	10976	2365	2172
MSTRG.4456	656	78	4009	483	192	1125	56	4847	740	676	280	200	4052	228	61
MSTRG.4457	3082	1274	135	2447	0	2089	662	140	1141	0	2712	2435	98	1300	0
MSTRG.4458	684	113	27	47	235	1286	227	31	475	0	1108	122	136	720	886
MSTRG.4459	11668	2709	33	4	465	5968	2605	59	126	0	7435	2191	126	19	702
MSTRG.446	46	106	0	73	85	24	29	0	541	149	64	61	34	409	153
MSTRG.4460	421	0	1788	1518	1413	412	0	2088	196	681	171	0	1467	1570	313
MSTRG.4461	51	0	0	517	11248	84	0	0	80	24407	15	0	0	208	10709
MSTRG.4462	209	0	973	259	1340	243	0	1835	250	12413	10	0	1819	106	2392
MSTRG.4463	2111	12	371	24	5858	1760	16	41	0	6790	1443	95	14	0	4505
MSTRG.4464	0	662	493	4175	208	2284	1406	429	5139	517	0	72	388	5399	214
MSTRG.4465	1813	2117	3345	312	659	879	2356	1716	205	857	1332	2761	1334	222	645
MSTRG.4466	2103	1466	441	1443	174	2637	4082	156	1656	190	1563	3018	479	1187	220
MSTRG.4467	4	127	327	10	141	16	30	252	400	176	47	71	229	4	94
MSTRG.4468	367	102	3259	1069	8	71	19	4616	2957	19	259	115	3311	1630	0
MSTRG.4469	5897	667	2521	335	223	5376	994	1049	264	193	821	985	4624	481	203
MSTRG.447	8165	6405	4824	1526	2376	3800	3372	2596	1112	1717	3211	3676	8590	839	19033
MSTRG.4470	1294	0	13166	3	437	1147	0	8744	10	211	81	0	9793	57	616
MSTRG.4471	1323	10	1	3134	396	1184	43	9	2911	436	1278	6	34	3669	401
MSTRG.4472	2550	476	431	3453	977	1160	686	779	3556	896	1082	558	674	3489	781
MSTRG.4473	235	164	51	5926	3137	136	171	48	1512	3341	167	193	288	6625	1694
MSTRG.4474	1467	0	1887	1521	67	1186	0	899	6154	223	1253	0	2957	851	130
MSTRG.4475	0	401	561	1883	385	0	581	644	2325	170	0	445	520	1495	373
MSTRG.4476	29	7918	0	2376	737	14	9348	2	2615	601	2	10060	64	2419	508
MSTRG.4477	11	102434	4324	791	617	4	69201	1717	872	865	32	185460	3254	550	564
